Row (x), Pitch (Y), Yaw (Z), Time (s)
5.75,10.20,0.29,54.33
5.85,15.26,-1.46,54.43
4.99,5.53,0.65,54.54
3.92,11.57,3.18,54.64
6.83,1.78,1.48,54.74
5.02,13.11,5.50,54.85
7.99,13.61,5.99,55.11
6.46,-1.31,3.10,55.22
6.28,5.31,8.36,55.32
5.89,9.85,6.93,55.42
5.54,-5.52,9.61,55.53
6.08,12.09,9.04,55.63
4.53,0.07,11.99,55.74
5.66,3.93,8.43,55.84
7.66,7.30,4.49,55.94
7.12,0.87,4.93,56.05
5.33,-0.75,7.80,56.31
6.21,10.41,6.68,56.41
5.02,1.25,2.59,56.51
12.44,10.72,3.76,56.62
10.12,-0.40,2.00,56.72
6.41,7.80,5.84,56.83
5.75,10.55,5.15,56.93
4.79,-2.81,9.04,57.03
5.82,8.69,8.60,57.14
3.04,-0.67,10.91,57.24
5.90,-2.53,3.52,57.51
3.63,19.19,5.44,57.61
5.92,3.87,2.23,57.72
6.99,-1.49,7.32,57.82
5.53,11.25,5.03,57.92
5.54,-3.40,2.75,58.03
5.56,16.57,4.27,58.13
8.72,-7.03,6.19,58.23
5.60,10.95,4.57,58.34
5.96,15.17,2.02,58.44
6.48,14.63,-8.04,58.71
5.08,7.93,-5.57,58.81
6.48,13.35,-4.94,58.91
6.24,2.02,-7.41,59.02
10.76,10.44,-6.21,59.12
8.59,-6.80,-7.80,59.23
7.24,3.97,-2.12,59.33
5.69,9.05,-2.07,59.43
5.81,-4.10,1.45,59.54
6.88,11.87,2.04,59.64
5.60,15.97,2.58,59.91
5.75,0.75,-2.13,60.01
